label,claim,model,readability,word_pos,claim_id,binary_label
FC,213 إِنَّ_verb_pseudo 3 ChatGPT إن القاهرة هي,عاصمة,,مصر,,correct
FC,5829 سَعادَة_noun 1 GPT4 تأثير السعادة على الصحة العقلية والجسدية,موضوع,,العلمية,,correct
FC,782 سَمِع_verb 1 ChatGPT للإنسان القدرة,على,,الأصوات,,correct
FC,5760 تَنْمِيَة_noun 3 GPT4 تلعب التنمية الزراعية دوراً أساسياً في توفير الغذاء,وتحسين,,المعيشة,,correct
FC,3393 جُنْدِيّ_noun 1 ChatGPT يتم تجنيد الجنود في الجيش بعد,بلوغهم,,الخدمة,,correct
FC,2073 أَخ_noun 1 ChatGPT يمكن أن يكون للشخص العديد من الإخوة والأخوات، وذلك يعتمد,على,,أفراد,,correct
FC,6742 جُزْء_noun 1 ChatGPT جزء من العملية,الهضمية,,في,,correct
FC,1633 نَعَم_interj 1 ChatGPT نعم الجمل هي نوع من النعم يستخدم في,الصحراء,,البضائع,,correct
FC,4344 أَظْهَر_verb 3 ChatGPT أظهرت الدراسات أن الأشخاص الذين يتناولون الفواكه والخضروات,بانتظام,,حياة,,correct
FC,769 ٱِسْم_noun 1 GPT4 يعود اسم جبل إفرست إلى,الجغرافي,,جورج,,correct
FC,2824 تَرَك_verb 1 ChatGPT ترك الرئيس الأمريكي الأسبق بيل كلينتون منصبه في عام 2001م,بعد,,فترة,,correct
FC,2640 حالَة_noun 2 GPT4 تعد حالة سوء التغذية مشكلة صحية خطيرة تؤثر على,ملايين,,حول,,correct
FC,1145 ٱِسْتَطاع_verb 1 ChatGPT استطاعت الشركة الأمريكية أبل تحقيق أرباح قياسية خلال الربع,الأول,,عام,2021.0,correct
FI,"9564 صارُوخ_noun 1 ChatGPT تم تطوير صاروخ ""أريان 5"" من قبل الوكالة الفضائية الأوروبية ويستخدم لنقل",الأقمار,,والمركبات,,incorrect
FI,5874 غَرْب_noun 3 ChatGPT تقع الجزر الكناري في المحيط الأطلسي,قبالة,,الغربي,,incorrect
FI,9426 سَرِير_noun 1 GPT4 سرير الملك توت عنخ آمون المصنوع من الذهب الخالص وجد في قبره بواسطة عالم المصريات هوارد,كارتر,,عام,1922.0,incorrect
FC,9594 ٱِتِّجاه_noun 2 ChatGPT الاتجاه الغربي هو الاتجاه,الذي,,إلى,,correct
FI,3452 أَوْضَح_verb 3 ChatGPT أوضح الخبراء أن الأكل الصحي يساعد على,الوقاية,,الأمراض,,incorrect
FC,8090 إِقْلِيم_noun 3 GPT4 استضاف إقليم لومبارديا في إيطاليا الألعاب,الأولمبية,,لعام,2026.0,correct
FC,46 إِلَى_prep 1 GPT4 الرحلة الأولى إلى القمر قامت بها المركبة الفضائية أبولو,11,,عام,1969.0,correct
FI,1655 سابِق_adj 3 ChatGPT الرئيس السابق للولايات المتحدة,الأمريكية,,باراك,,incorrect
FC,"5889 مَعْنَى_noun 1 GPT4 معنى كلمة ""مطر"" في اللغة العربية هو قطرات الماء التي تتساقط",من,,على,,correct
FI,395 عام_noun 2 ChatGPT يحتفل العالم بالعام الدولي للتمر في 7,يونيو,,كل,,incorrect
FC,62 قال_verb 1 ChatGPT قالت دراسة حديثة إن الأردن يعاني من,نقص,,في,,correct
FI,186 هُوَ_pron 1 GPT4 هو الجمال يعتبر أسرع حيوان على اليابسة ويستطيع أن يصل سرعته إلى,120,,في,,incorrect
FC,9066 قِسْم_noun 1 GPT4 قسم الفيزياء هو أحد أقسام,كلية,,في,,correct
FC,6238 أَعَدّ_verb 3 GPT4 أعد العالم ماري كوري بحوثًا حول الإشعاع وساعدت,في,,البولونيوم,,correct
FC,2125 قَضِيَّة_noun 3 ChatGPT قضية العنف ضد المرأة تعد من أكثر,القضايا,,في,,correct
FC,8120 قَوْمِيّ_adj 4 GPT4 عاش قومي المايا في منطقة المكسيك وأمريكا الوسطى وتميزوا,بعلمهم,,الفلك,,correct
FC,9617 ٱِعْتِماد_noun 2 GPT4 الاعتماد المصرفي هو أداة مالية تستخدم لضمان الدفع بين البائع,والمشتري,,المعاملات,,correct
FC,3492 قَلِيل_adj 1 ChatGPT اليابان تعتبر من الدول التي تمتلك,قليل,,الموارد,,correct
FC,7395 ٱِرْتِفاع_noun 2 ChatGPT يصل ارتفاع جبل طارق في جبل طارق إلى 426 مترًا,فوق,,سطح,,correct
FI,9382 هُنَيْهَة_noun 5 ChatGPT يستخدم المصريون الهنيهة,بدلاً,,كلمة,,incorrect
FC,7723 أَحْمَر_adj 1 ChatGPT الفلفل الأحمر يحتوي على,فيتامين,,بكميات,,correct
FI,3515 مُؤَسَّسَة_noun 4 ChatGPT تأسست مؤسسة الأوقاف الإسلامية,في,,الثاني,,incorrect
FI,6528 فَتَى_noun 2 GPT4 فتى الشمس هو رواية للكاتب المصري,يحيى,,عبد,,incorrect
FC,5635 عَرْض_noun 2 ChatGPT تم عرض الأفلام القصيرة للمخرج المصري يوسف شاهين في مهرجان,الأفلام,,في,,correct
FI,5897 نَفْط_noun 3 GPT4 ظل البعوضة يمكن أن,ينقل,,زيكا,,incorrect
FC,3985 قِيمَة_noun 2 ChatGPT تتغير قيمة العقارات بناءً على,العرض,,في,,correct
FI,9632 مَلِكَة_noun 1 ChatGPT تعتبر الملكة نفيسة بنت عبد العزيز آل سعود أول ملكة في,تاريخ,,العربية,,incorrect
FC,2019 أَجْل_noun 5 GPT4 في القانون الدولي، يوجد أجل معين لاستخدام القوة,المسلحة,,دولة,,correct
FC,7744 طَبِيعَة_noun 1 ChatGPT تتواجد العديد من الحيوانات والنباتات,الفريدة,,الطبيعة,,correct
FC,722 هَلْ_part_interrog 1 ChatGPT هل يبلغ عدد سكان الجزائر أكثر,من,43.0,مليون,,correct
FC,798 عَيْن_noun 1 GPT4 توجد عين شمس، وهي منطقة في القاهرة، على,أنقاض,,هليوبوليس,,correct
FC,3286 أَدَّى_verb 3 GPT4 أدى الزلزال الذي ضرب هاييتي في عام 2010 إلى مقتل,أكثر,,"200,000",,correct
FC,5474 مُسْتَقْبَل_noun 1 ChatGPT يتوقع أن يزداد عدد السكان في العالم,بشكل,,في,,correct
FC,8860 حَجْم_noun 2 GPT4 تبلغ الكتلة الحجمية للماء حوالي 1,غرام,,سنتيمتر,,correct
FC,9949 خَلا_verb 4 GPT4 ازدهرت الفلسفة والطب والرياضيات في العالم,الإسلامي,,العصور,,correct
FI,6863 مَوْعِد_noun 1 ChatGPT تم تحديد موعد انعقاد المؤتمر الدولي في الطب في الفترة من ١٠,إلى,,نوفمبر,,incorrect
FC,6542 صُنْدُوق_noun 1 ChatGPT يستخدم الصندوق الوطني للتأمينات الاجتماعية في الولايات المتحدة الأمريكية صندوقًا,خاصًا,,الفائض,,correct
FC,4867 إِعادَة_noun 1 GPT4 تعتبر إعادة تدوير النفايات واحدة من أهم العمليات للحفاظ,على,,والموارد,,correct
FC,9991 شَخْصِيَّة_noun 2 ChatGPT شخصية محمد صلاح هي لاعب كرة قدم مصري يلعب,في,,ليفربول,,correct
FC,4824 ضَحِك_verb 1 ChatGPT الضحك يمكن أن يحسن من صحة القلب والأوعية الدموية ويقلل من,خطر,,بأمراض,,correct
FC,2757 سَبِيل_noun 3 GPT4 استخدم العرب القديمون سبيل الزمزم لتوفير مياه,الشرب,,في,,correct
FC,5436 مَشَى_verb 1 GPT4 مشى النبي محمد صلى الله عليه وسلم من مكة إلى,المدينة,,الهجرة,,correct
FC,9125 حَجّ_noun 1 ChatGPT يتم الحج باتباع مجموعة,من,,والتقاليد,,correct
FC,5835 رابِع_adj_num 1 ChatGPT يعتبر كوكب المريخ هو الكوكب الذي يشبه الأرض أكثر من,غيره,,الكواكب,,correct
FI,6154 بِدايَة_noun 1 ChatGPT بداية العصر الحجري كانت قبل,حوالي,2.6,مليون,,incorrect
FI,8790 صَعِد_verb 1 GPT4 صعد رائد الفضاء الأمريكي نيل أرمسترونغ إلى سطح القمر,في,20.0,يوليو,1969.0,incorrect
FC,2700 مُؤْتَمَر_noun 4 GPT4 عقد مؤتمر الأمم المتحدة للتغير المناخي في كيوتو عام 1997,وأدى,,اتفاقية,,correct
FC,6299 دِيمُقراطِيّ_adj 4 GPT4 تعتبر ديمقراطية الشورى الإسلامية مبدأ ديمقراطي يعود,إلى,,والخلافة,,correct
FC,5832 رابِع_adj_num 1 ChatGPT يعتبر كوكب المريخ الرابع من,حيث,,عن,,correct
FI,"2968 رِسالَة_noun 1 GPT4 تألفت رسالة ابن سينا ""العشر مقالات"" من",الفلسفة,,والجبر,,incorrect
FC,3484 تَقَدَّم_verb 3 ChatGPT تقدم العديد من الدول خدمات,الرعاية,,المجانية,,correct
FC,5401 قَدِيم_adj 1 ChatGPT الأهرامات في مصر هي من أشهر,المعالم,,في,,correct
FI,9899 فَنّ_noun 2 GPT4 فن الحكاية الشعبية هو أسلوب قديم من الفن المسرحي,التقليدي,,المجتمعات,,incorrect
FC,3477 مُنَظَّمَة_noun 4 GPT4 تأسست منظمة العمل الدولية في عام 1919 وهي جزء,من,,الأمم,,correct
FI,843 قَلْب_noun 1 ChatGPT يتكون قلب الإنسان من أربعة غرف:,غرفتين,,وغرفتين,,incorrect
FC,6365 مَقَرّ_noun 4 ChatGPT تم بناء مقر البنك,الدولي,,عام,1944.0,correct
FC,6736 بات_verb 4 GPT4 باتت القاهرة عاصمة مصر منذ,العصور,,وحتى,,correct
FC,6812 إِصْلاح_noun 2 ChatGPT تم إطلاق حملة إصلاح القضاء في,العديد,,الدول,,correct
FC,3403 مُشْكِلَة_noun 1 ChatGPT تعد مشكلة التلوث البيئي من أكبر التحديات التي تواجه,العالم,,الوقت,,correct
FI,5449 أَجْرَى_verb 3 GPT4 أجرى العالم الفلكي العراقي الحسن بن الهيثم تجارب,على,,النجوم,,incorrect
FC,3980 حادِث_noun 2 GPT4 تعرضت محطة تشرنوبل النووية لحادث كارثي,في,,أبريل,,correct
FC,9701 مَعْرَكَة_noun 2 ChatGPT تم اغتيال الرئيس اللبناني رفيق,الحريري,,عام,2005.0,correct
FC,2752 سَبِيل_noun 3 ChatGPT تم تطوير سبيل النقل الحضري في,العديد,,المدن,,correct
FI,8114 قَوْمِيّ_adj 4 ChatGPT قومي هي,شركة,,للصناعات,,incorrect
FC,1991 قَدَّم_verb 1 ChatGPT قدم الإنسان الأول على الأرض قبل,حوالي,6.0,ملايين,,correct
FC,3205 مَوْت_noun 1 ChatGPT يمكن أن يحدث الموت بسبب الإصابة بالأمراض الوراثية مثل,مرض,,ومرض,,correct
FC,5813 مُفاوَضَة_noun 4 ChatGPT تمت مفاوضة اتفاق السلام بين السودان,وإسرائيل,,عام,2020.0,correct
FC,7260 أَساس_noun 1 GPT4 أسست دولة الإمارات العربية المتحدة عام 1971 وتعتبر الأساس الذي,يرتكز,,النظام,,correct
FC,9030 بالِغ_adj 4 GPT4 يمكن للبالغين في الولايات المتحدة شراء وتناول المشروبات الكحولية بعد,بلوغهم,,21,,correct
FI,5797 ٱِسْتَمَرّ_verb 2 GPT4 استمر العالم الفلكي العربي أبو الحسن النيريزي في دراسة الفلك والرياضيات,لأكثر,,ثلاثة,,incorrect
FC,2228 شَكْل_noun 1 GPT4 الشكل الأرضي للكرة الأرضية هو إهليلجي، وهو شكل قريب من الكروي ولكنه يميل قليلاً,إلى,,عند,,correct
FC,61 قال_verb 1 ChatGPT قال الرئيس السيسي إن مصر تعمل على تطوير البنية,التحتية,,والطاقة,,correct
FC,3797 مُدِير_noun 1 GPT4 كان المدير الفني للمنتخب الوطني المصري,لكرة,,حسن,,correct
FC,9161 قَرْن_noun 3 ChatGPT القرن العشرين هو القرن الذي شهد أكبر,تغييرات,,تاريخ,,correct
FC,1834 مِلْيُون_noun_num 3 ChatGPT يوجد أكثر من مليون نوع,من,,في,,correct
FC,653 حِين_noun 3 ChatGPT حين يتم تسخين,الماء،,,إلى,,correct
FI,424 يَد_noun 1 ChatGPT تحتوي يد الإنسان على,أكثر,,17,,incorrect
FC,4501 عَبْر_noun 2 ChatGPT عبر العصور، كانت الحرب والصراعات السياسية هي الأسباب الرئيسية,لتغيير,,الجغرافية,,correct
FC,5850 حارِس_noun 1 GPT4 الحارس البرازيلي روجيريو سيني معروف بتسجيله للأهداف من,الركلات,,وركلات,,correct
FC,9048 جِدار_noun 1 GPT4 يمتد الجدار الغربي في القدس القديمة ويعتبر,مقدساً,,للديانة,,correct
FI,"79 هٰذا_pron_dem 1 GPT4 هذا الفيلم يدعى ""طيور الجنة"" وهو",من,,السينما,,incorrect
FC,5376 قَضاء_noun 4 GPT4 قضاء الله هو المفهوم الإسلامي للمصير أو السبب الأول,لكل,,في,,correct
FC,5956 سَوْفَ_part_fut 3 GPT4 سوف تعبر سفينة الفضاء جيمس ويب عن قمة التكنولوجيا الفضائية عند,إطلاقها,,ديسمبر,2021.0,correct
FC,645 أَمّا_part_focus 3 ChatGPT أما,العاصمة,,فهي,,correct
FC,1543 حَدِيث_noun 1 ChatGPT يتميز الحديث,النبوي,,والصحة,,correct
